Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
NBL_191_M2_PM,MIP-1α,F05,6,4,,120875,120875,120875,120875,NaN,,,1894.488251,1894.488251,NaN
NBL_191_M2_PM,MIP-1β,F05,2,4,,1226068,1226068,1226068,1226068,NaN,,,6567.976465,6567.976465,NaN
NBL_191_M2_PM,TARC,F05,4,4,,811403,811403,811403,811403,NaN,,,9113.882775,9113.882775,NaN
NBL_191_M2_PM,GM-CSF,F05,1,2,,953,953,953,953,NaN,,,2.243492939,2.243492939,NaN
NBL_191_M2_PM,IL-12p40,F05,5,2,,17518,17518,17518,17518,NaN,,,164.8045317,164.8045317,NaN
NBL_191_M2_PM,IL-15,F05,6,2,,219,219,219,219,NaN,,,0.154858278,0.154858278,NaN
NBL_191_M2_PM,IL-16,F05,7,2,,6502,6502,6502,6502,NaN,,,150.3289929,150.3289929,NaN
NBL_191_M2_PM,IL-17,F05,8,2,,356,356,356,356,NaN,,,1.687675861,1.687675861,NaN
NBL_191_M2_PM,IL-1α,F05,2,2,,2296,2296,2296,2296,NaN,,,5.346171362,5.346171362,NaN
NBL_191_M2_PM,IL-5,F05,3,2,,489,489,489,489,NaN,,,0.060222522,0.060222522,NaN
NBL_191_M2_PM,IL-7,F05,4,2,,256,256,256,256,NaN,,,0.299689157,0.299689157,NaN
NBL_191_M2_PM,TNF-β,F05,9,2,,381,381,381,381,NaN,,,0.27601374,0.27601374,NaN
NBL_191_M2_PM,VEGF,F05,10,2,,2329,2329,2329,2329,NaN,,,19.96945858,19.96945858,NaN
NBL_191_M2_PM,IFN-γ,F05,1,2,,894,894,894,894,NaN,,,4.368996344,4.368996344,NaN
NBL_191_M2_PM,IL-10,F05,7,2,,4548,4548,4548,4548,NaN,,,5.525523325,5.525523325,NaN
NBL_191_M2_PM,IL-12p70,F05,8,2,,1529,1529,1529,1529,NaN,,,2.589250329,2.589250329,NaN
NBL_191_M2_PM,IL-13,F05,9,2,,6293,6293,6293,6293,NaN,,,37.52910597,37.52910597,NaN
NBL_191_M2_PM,IL-1β,F05,2,2,,19573,19573,19573,19573,NaN,,,16.14973717,16.14973717,NaN
NBL_191_M2_PM,IL-2,F05,3,2,,3432,3432,3432,3432,NaN,,,6.707330606,6.707330606,NaN
NBL_191_M2_PM,IL-4,F05,4,2,,38857,38857,38857,38857,NaN,,,32.09830014,32.09830014,NaN
NBL_191_M2_PM,IL-6,F05,5,2,,46476,46476,46476,46476,NaN,,,140.9601362,140.9601362,NaN
NBL_191_M2_PM,IL-8,F05,6,2,,1501614,1501614,1501614,1501614,NaN,,,4480.938356,4480.938356,NaN
NBL_191_M2_PM,TNF-α,F05,10,2,,36868,36868,36868,36868,NaN,,,124.2875565,124.2875565,NaN
NBL_191_M2_Veh,Eotaxin,B05,1,4,,1411,1411,1411,1411,NaN,,,146.4112579,146.4112579,NaN
NBL_191_M2_Veh,Eotaxin-3,B05,3,4,,567,567,567,567,NaN,,,29.45451737,29.45451737,NaN
NBL_191_M2_Veh,IL-8,B05,7,4,,1329,1329,1329,1329,NaN,,,3498.876829,3498.876829,NaN
NBL_191_M2_Veh,IP-10,B05,5,4,,44856,44856,44856,44856,NaN,,,285.7110328,285.7110328,NaN
NBL_191_M2_Veh,MCP-1,B05,8,4,,1809920,1809920,1809920,1809920,NaN,,,14642.308,14642.308,NaN
NBL_191_M2_Veh,MCP-4,B05,10,4,,1350728,1350728,1350728,1350728,NaN,,,6420.845487,NaN,NaN
NBL_191_M2_Veh,MDC,B05,9,4,,1582495,1582495,1582495,1582495,NaN,,,72841.24655,72841.24655,NaN
NBL_191_M2_Veh,MIP-1α,B05,6,4,,30774,30774,30774,30774,NaN,,,819.0843872,819.0843872,NaN
NBL_191_M2_Veh,MIP-1β,B05,2,4,,625457,625457,625457,625457,NaN,,,3829.03297,3829.03297,NaN
NBL_191_M2_Veh,TARC,B05,4,4,,92604,92604,92604,92604,NaN,,,950.1243204,950.1243204,NaN
NBL_191_M2_Veh,GM-CSF,B05,1,2,,256,256,256,256,NaN,,,0.159919473,0.159919473,NaN
NBL_191_M2_Veh,IL-12p40,B05,5,2,,713,713,713,713,NaN,,,2.267181926,2.267181926,NaN
NBL_191_M2_Veh,IL-15,B05,6,2,,157,157,157,157,NaN,,,0.051107087,0.051107087,NaN
NBL_191_M2_Veh,IL-16,B05,7,2,,3335,3335,3335,3335,NaN,,,84.37586649,84.37586649,NaN
NBL_191_M2_Veh,IL-17,B05,8,2,,128,128,128,128,NaN,,,0.000862996,NaN,NaN
NBL_191_M2_Veh,IL-1α,B05,2,2,,457,457,457,457,NaN,,,0.005664503,NaN,NaN
NBL_191_M2_Veh,IL-5,B05,3,2,,432,432,432,432,NaN,,,0.000726968,NaN,NaN
NBL_191_M2_Veh,IL-7,B05,4,2,,158,158,158,158,NaN,,,0.018695744,0.018695744,NaN
NBL_191_M2_Veh,TNF-β,B05,9,2,,277,277,277,277,NaN,,,0.004331848,NaN,NaN
NBL_191_M2_Veh,VEGF,B05,10,2,,315,315,315,315,NaN,,,0.357618507,NaN,NaN
NBL_191_M2_Veh,IFN-γ,B05,1,2,,623,623,623,623,NaN,,,1.981258961,1.981258961,NaN
NBL_191_M2_Veh,IL-10,B05,7,2,,1613,1613,1613,1613,NaN,,,1.439870015,1.439870015,NaN
NBL_191_M2_Veh,IL-12p70,B05,8,2,,478,478,478,478,NaN,,,0.206858716,0.206858716,NaN
NBL_191_M2_Veh,IL-13,B05,9,2,,746,746,746,746,NaN,,,6.191158027,6.191158027,NaN
NBL_191_M2_Veh,IL-1β,B05,2,2,,5101,5101,5101,5101,NaN,,,2.540343592,2.540343592,NaN
NBL_191_M2_Veh,IL-2,B05,3,2,,935,935,935,935,NaN,,,0.980556129,0.980556129,NaN
NBL_191_M2_Veh,IL-4,B05,4,2,,45409,45409,45409,45409,NaN,,,38.28466735,38.28466735,NaN
NBL_191_M2_Veh,IL-6,B05,5,2,,12165,12165,12165,12165,NaN,,,35.97821335,35.97821335,NaN
NBL_191_M2_Veh,IL-8,B05,6,2,,1378441,1378441,1378441,1378441,NaN,,,4082.008449,4082.008449,NaN
NBL_191_M2_Veh,TNF-α,B05,10,2,,5666,5666,5666,5666,NaN,,,17.17016144,17.17016144,NaN
NBL_273_M0_M1,Eotaxin,C09,1,4,,2588,2588,2588,2588,NaN,,,226.8810445,226.8810445,NaN
NBL_273_M0_M1,Eotaxin-3,C09,3,4,,628,628,628,628,NaN,,,33.74352881,33.74352881,NaN
NBL_273_M0_M1,IL-8,C09,7,4,,50473,50473,50473,50473,NaN,,,65794.00915,65794.00915,NaN
NBL_273_M0_M1,IP-10,C09,5,4,,1326854,1326854,1326854,1326854,NaN,,,30330.58933,30330.58933,NaN
NBL_273_M0_M1,MCP-1,C09,8,4,,1708736,1708736,1708736,1708736,NaN,,,13767.03475,13767.03475,NaN
NBL_273_M0_M1,MCP-4,C09,10,4,,1420,1420,1420,1420,NaN,,,97.29780694,97.29780694,NaN
NBL_273_M0_M1,MDC,C09,9,4,,3504,3504,3504,3504,NaN,,,425.6443537,425.6443537,NaN
NBL_273_M0_M1,MIP-1α,C09,6,4,,1485242,1485242,1485242,1485242,NaN,,,9318.887159,9318.887159,NaN
NBL_273_M0_M1,MIP-1β,C09,2,4,,1490669,1490669,1490669,1490669,NaN,,,7683.654389,7683.654389,NaN
NBL_273_M0_M1,TARC,C09,4,4,,13569,13569,13569,13569,NaN,,,123.1350862,123.1350862,NaN
NBL_273_M0_M1,GM-CSF,C09,1,2,,1397,1397,1397,1397,NaN,,,3.825383899,3.825383899,NaN
NBL_273_M0_M1,IL-12p40,C09,5,2,,102487,102487,102487,102487,NaN,,,1473.432173,1473.432173,NaN
NBL_273_M0_M1,IL-15,C09,6,2,,1023,1023,1023,1023,NaN,,,2.069076961,2.069076961,NaN
NBL_273_M0_M1,IL-16,C09,7,2,,1212,1212,1212,1212,NaN,,,33.33462711,33.33462711,NaN
NBL_273_M0_M1,IL-17,C09,8,2,,1281,1281,1281,1281,NaN,,,11.66443752,11.66443752,NaN
NBL_273_M0_M1,IL-1α,C09,2,2,,1342,1342,1342,1342,NaN,,,2.260423919,2.260423919,NaN
NBL_273_M0_M1,IL-5,C09,3,2,,578,578,578,578,NaN,,,0.189841611,0.189841611,NaN
NBL_273_M0_M1,IL-7,C09,4,2,,398,398,398,398,NaN,,,0.794134068,0.794134068,NaN
NBL_273_M0_M1,TNF-β,C09,9,2,,1259,1259,1259,1259,NaN,,,3.919727656,3.919727656,NaN
NBL_273_M0_M1,VEGF,C09,10,2,,155998,155998,155998,155998,NaN,,,1187.535247,1187.535247,NaN
NBL_273_M0_M1,IFN-γ,C09,1,2,,55898,55898,55898,55898,NaN,,,716.0293823,716.0293823,NaN
NBL_273_M0_M1,IL-10,C09,7,2,,495605,495605,495605,495605,NaN,,,1105.635121,1105.635121,NaN
NBL_273_M0_M1,IL-12p70,C09,8,2,,6660,6660,6660,6660,NaN,,,16.76273445,16.76273445,NaN
NBL_273_M0_M1,IL-13,C09,9,2,,14908,14908,14908,14908,NaN,,,71.12624831,71.12624831,NaN
NBL_273_M0_M1,IL-1β,C09,2,2,,22447,22447,22447,22447,NaN,,,19.05502657,19.05502657,NaN
NBL_273_M0_M1,IL-2,C09,3,2,,3418,3418,3418,3418,NaN,,,6.672563267,6.672563267,NaN
NBL_273_M0_M1,IL-4,C09,4,2,,11936,11936,11936,11936,NaN,,,8.395302832,8.395302832,NaN
NBL_273_M0_M1,IL-6,C09,5,2,,1504427,1504427,1504427,1504427,NaN,,,4710.099578,4710.099578,NaN
NBL_273_M0_M1,IL-8,C09,6,2,,1571351,1571351,1571351,1571351,NaN,,,4708.146606,4708.146606,NaN
NBL_273_M0_M1,TNF-α,C09,10,2,,1874844,1874844,1874844,1874844,NaN,,,7002.400577,7002.400577,NaN
NBL_273_M0_M1+PM,Eotaxin,G09,1,4,,1778,1778,1778,1778,NaN,,,173.341435,173.341435,NaN
NBL_273_M0_M1+PM,Eotaxin-3,G09,3,4,,754,754,754,754,NaN,,,42.7848348,42.7848348,NaN
NBL_273_M0_M1+PM,IL-8,G09,7,4,,375009,375009,375009,375009,NaN,,,307951.9304,307951.9304,NaN
NBL_273_M0_M1+PM,IP-10,G09,5,4,,1325510,1325510,1325510,1325510,NaN,,,30271.01466,30271.01466,NaN
NBL_273_M0_M1+PM,MCP-1,G09,8,4,,1800227,1800227,1800227,1800227,NaN,,,14558.2943,14558.2943,NaN
NBL_273_M0_M1+PM,MCP-4,G09,10,4,,2111,2111,2111,2111,NaN,,,131.7404453,131.7404453,NaN
NBL_273_M0_M1+PM,MDC,G09,9,4,,5462,5462,5462,5462,NaN,,,632.0546116,632.0546116,NaN
NBL_273_M0_M1+PM,MIP-1α,G09,6,4,,1485576,1485576,1485576,1485576,NaN,,,9320.323594,9320.323594,NaN
NBL_273_M0_M1+PM,MIP-1β,G09,2,4,,1577273,1577273,1577273,1577273,NaN,,,8040.260739,8040.260739,NaN
NBL_273_M0_M1+PM,TARC,G09,4,4,,9145,9145,9145,9145,NaN,,,79.39862237,79.39862237,NaN
NBL_273_M0_M1+PM,GM-CSF,G09,1,2,,8401,8401,8401,8401,NaN,,,36.60199586,36.60199586,NaN
NBL_273_M0_M1+PM,IL-12p40,G09,5,2,,59113,59113,59113,59113,NaN,,,745.8908413,745.8908413,NaN
NBL_273_M0_M1+PM,IL-15,G09,6,2,,1431,1431,1431,1431,NaN,,,3.217631817,3.217631817,NaN
NBL_273_M0_M1+PM,IL-16,G09,7,2,,2280,2280,2280,2280,NaN,,,60.16115995,60.16115995,NaN
NBL_273_M0_M1+PM,IL-17,G09,8,2,,815,815,815,815,NaN,,,6.2992919,6.2992919,NaN
NBL_273_M0_M1+PM,IL-1α,G09,2,2,,12738,12738,12738,12738,NaN,,,48.78717861,48.78717861,NaN
NBL_273_M0_M1+PM,IL-5,G09,3,2,,649,649,649,649,NaN,,,0.304636073,0.304636073,NaN
NBL_273_M0_M1+PM,IL-7,G09,4,2,,344,344,344,344,NaN,,,0.598710938,0.598710938,NaN
NBL_273_M0_M1+PM,TNF-β,G09,9,2,,1312,1312,1312,1312,NaN,,,4.150142968,4.150142968,NaN
NBL_273_M0_M1+PM,VEGF,G09,10,2,,333927,333927,333927,333927,NaN,,,2424.624939,2424.624939,NaN
NBL_273_M0_M1+PM,IFN-γ,G09,1,2,,26956,26956,26956,26956,NaN,,,319.7145637,319.7145637,NaN
NBL_273_M0_M1+PM,IL-10,G09,7,2,,852543,852543,852543,852543,NaN,,,2020.72686,2020.72686,NaN
NBL_273_M0_M1+PM,IL-12p70,G09,8,2,,3841,3841,3841,3841,NaN,,,8.680316525,8.680316525,NaN
NBL_273_M0_M1+PM,IL-13,G09,9,2,,16131,16131,16131,16131,NaN,,,75.36049619,75.36049619,NaN
NBL_273_M0_M1+PM,IL-1β,G09,2,2,,31407,31407,31407,31407,NaN,,,28.37074444,28.37074444,NaN
NBL_273_M0_M1+PM,IL-2,G09,3,2,,3902,3902,3902,3902,NaN,,,7.886210864,7.886210864,NaN
NBL_273_M0_M1+PM,IL-4,G09,4,2,,8127,8127,8127,8127,NaN,,,5.401795988,5.401795988,NaN
NBL_273_M0_M1+PM,IL-6,G09,5,2,,1471324,1471324,1471324,1471324,NaN,,,4605.537319,4605.537319,NaN
NBL_273_M0_M1+PM,IL-8,G09,6,2,,1573294,1573294,1573294,1573294,NaN,,,4714.490463,4714.490463,NaN
NBL_273_M0_M1+PM,TNF-α,G09,10,2,,1858984,1858984,1858984,1858984,NaN,,,6941.674115,6941.674115,NaN
NBL_273_M0_PM,Eotaxin,E09,1,4,,1178,1178,1178,1178,NaN,,,128.0452192,128.0452192,NaN
NBL_273_M0_PM,Eotaxin-3,E09,3,4,,509,509,509,509,NaN,,,25.43766134,25.43766134,NaN
NBL_273_M0_PM,IL-8,E09,7,4,,316781,316781,316781,316781,NaN,,,270461.7474,270461.7474,NaN
NBL_273_M0_PM,IP-10,E09,5,4,,54662,54662,54662,54662,NaN,,,364.5728203,364.5728203,NaN
NBL_273_M0_PM,MCP-1,E09,8,4,,1758392,1758392,1758392,1758392,NaN,,,14196.09217,14196.09217,NaN
NBL_273_M0_PM,MCP-4,E09,10,4,,66585,66585,66585,66585,NaN,,,1609.101793,1609.101793,NaN
NBL_273_M0_PM,MDC,E09,9,4,,4927,4927,4927,4927,NaN,,,577.2495352,577.2495352,NaN
NBL_273_M0_PM,MIP-1α,E09,6,4,,1451468,1451468,1451468,1451468,NaN,,,9173.317246,9173.317246,NaN
NBL_273_M0_PM,MIP-1β,E09,2,4,,1575989,1575989,1575989,1575989,NaN,,,8035.00152,8035.00152,NaN
NBL_273_M0_PM,TARC,E09,4,4,,10728,10728,10728,10728,NaN,,,94.96657272,94.96657272,NaN
NBL_273_M0_PM,GM-CSF,E09,1,2,,27367,27367,27367,27367,NaN,,,151.0494203,151.0494203,NaN
NBL_273_M0_PM,IL-12p40,E09,5,2,,5180,5180,5180,5180,NaN,,,35.55192917,35.55192917,NaN
NBL_273_M0_PM,IL-15,E09,6,2,,507,507,507,507,NaN,,,0.760505514,0.760505514,NaN
NBL_273_M0_PM,IL-16,E09,7,2,,2375,2375,2375,2375,NaN,,,62.41431925,62.41431925,NaN
NBL_273_M0_PM,IL-17,E09,8,2,,290,290,290,290,NaN,,,1.119414986,1.119414986,NaN
NBL_273_M0_PM,IL-1α,E09,2,2,,42436,42436,42436,42436,NaN,,,203.0564658,203.0564658,NaN
NBL_273_M0_PM,IL-5,E09,3,2,,454,454,454,454,NaN,,,0.017205299,0.017205299,NaN
NBL_273_M0_PM,IL-7,E09,4,2,,180,180,180,180,NaN,,,0.072838568,0.072838568,NaN
NBL_273_M0_PM,TNF-β,E09,9,2,,291,291,291,291,NaN,,,0.004331848,NaN,NaN
NBL_273_M0_PM,VEGF,E09,10,2,,586850,586850,586850,586850,NaN,,,4113.481715,4113.481715,NaN
NBL_273_M0_PM,IFN-γ,E09,1,2,,914,914,914,914,NaN,,,4.550891533,4.550891533,NaN
NBL_273_M0_PM,IL-10,E09,7,2,,170552,170552,170552,170552,NaN,,,337.7594215,337.7594215,NaN
NBL_273_M0_PM,IL-12p70,E09,8,2,,1049,1049,1049,1049,NaN,,,1.442029186,1.442029186,NaN
NBL_273_M0_PM,IL-13,E09,9,2,,7293,7293,7293,7293,NaN,,,41.91311105,41.91311105,NaN
NBL_273_M0_PM,IL-1β,E09,2,2,,45761,45761,45761,45761,NaN,,,43.91009633,43.91009633,NaN
NBL_273_M0_PM,IL-2,E09,3,2,,2083,2083,2083,2083,NaN,,,3.469629939,3.469629939,NaN
NBL_273_M0_PM,IL-4,E09,4,2,,2025,2025,2025,2025,NaN,,,1.043522135,1.043522135,NaN
NBL_273_M0_PM,IL-6,E09,5,2,,606216,606216,606216,606216,NaN,,,1883.292703,1883.292703,NaN
NBL_273_M0_PM,IL-8,E09,6,2,,1543948,1543948,1543948,1543948,NaN,,,4618.753232,4618.753232,NaN
NBL_273_M0_PM,TNF-α,E09,10,2,,277293,277293,277293,277293,NaN,,,988.4599464,988.4599464,NaN
NBL_273_M0_Veh,Eotaxin,A09,1,4,,1124,1124,1124,1124,NaN,,,123.6123521,123.6123521,NaN
NBL_273_M0_Veh,Eotaxin-3,A09,3,4,,146,146,146,146,NaN,,,2.471507949,2.471507949,NaN
NBL_273_M0_Veh,IL-8,A09,7,4,,13974,13974,13974,13974,NaN,,,24326.48337,24326.48337,NaN
NBL_273_M0_Veh,IP-10,A09,5,4,,110532,110532,110532,110532,NaN,,,874.3853231,874.3853231,NaN
NBL_273_M0_Veh,MCP-1,A09,8,4,,1756680,1756680,1756680,1756680,NaN,,,14181.28387,14181.28387,NaN
NBL_273_M0_Veh,MCP-4,A09,10,4,,29138,29138,29138,29138,NaN,,,861.9368835,861.9368835,NaN
NBL_273_M0_Veh,MDC,A09,9,4,,5907,5907,5907,5907,NaN,,,676.8993452,676.8993452,NaN
NBL_273_M0_Veh,MIP-1α,A09,6,4,,23016,23016,23016,23016,NaN,,,685.4205903,685.4205903,NaN
NBL_273_M0_Veh,MIP-1β,A09,2,4,,284879,284879,284879,284879,NaN,,,2040.125606,2040.125606,NaN
NBL_273_M0_Veh,TARC,A09,4,4,,7292,7292,7292,7292,NaN,,,61.31913079,61.31913079,NaN
NBL_273_M0_Veh,GM-CSF,A09,1,2,,669,669,669,669,NaN,,,1.312945124,1.312945124,NaN
NBL_273_M0_Veh,IL-12p40,A09,5,2,,942,942,942,942,NaN,,,3.511905645,3.511905645,NaN
NBL_273_M0_Veh,IL-15,A09,6,2,,162,162,162,162,NaN,,,0.058745956,0.058745956,NaN
NBL_273_M0_Veh,IL-16,A09,7,2,,919,919,919,919,NaN,,,25.25454465,25.25454465,NaN
NBL_273_M0_Veh,IL-17,A09,8,2,,127,127,127,127,NaN,,,0.000862996,NaN,NaN
NBL_273_M0_Veh,IL-1α,A09,2,2,,488,488,488,488,NaN,,,0.015824891,0.015824891,NaN
NBL_273_M0_Veh,IL-5,A09,3,2,,443,443,443,443,NaN,,,0.005821795,0.005821795,NaN
NBL_273_M0_Veh,IL-7,A09,4,2,,197,197,197,197,NaN,,,0.119606183,0.119606183,NaN
NBL_273_M0_Veh,TNF-β,A09,9,2,,257,257,257,257,NaN,,,0.004331848,NaN,NaN
NBL_273_M0_Veh,VEGF,A09,10,2,,12573,12573,12573,12573,NaN,,,109.7200631,109.7200631,NaN
NBL_273_M0_Veh,IFN-γ,A09,1,2,,654,654,654,654,NaN,,,2.245538886,2.245538886,NaN
NBL_273_M0_Veh,IL-10,A09,7,2,,2808,2808,2808,2808,NaN,,,3.039899585,3.039899585,NaN
NBL_273_M0_Veh,IL-12p70,A09,8,2,,729,729,729,729,NaN,,,0.723255234,0.723255234,NaN
NBL_273_M0_Veh,IL-13,A09,9,2,,12557,12557,12557,12557,NaN,,,62.69682269,62.69682269,NaN
NBL_273_M0_Veh,IL-1β,A09,2,2,,12303,12303,12303,12303,NaN,,,9.042771463,9.042771463,NaN
NBL_273_M0_Veh,IL-2,A09,3,2,,2608,2608,2608,2608,NaN,,,4.700029037,4.700029037,NaN
NBL_273_M0_Veh,IL-4,A09,4,2,,1344,1344,1344,1344,NaN,,,0.62139906,0.62139906,NaN
NBL_273_M0_Veh,IL-6,A09,5,2,,68918,68918,68918,68918,NaN,,,209.9937025,209.9937025,NaN
NBL_273_M0_Veh,IL-8,A09,6,2,,1539040,1539040,1539040,1539040,NaN,,,4602.757736,4602.757736,NaN
NBL_273_M0_Veh,TNF-α,A09,10,2,,9646,9646,9646,9646,NaN,,,30.53965438,30.53965438,NaN
NBL_273_M2_M1,Eotaxin,D09,1,4,,2122,2122,2122,2122,NaN,,,196.9066119,196.9066119,NaN
NBL_273_M2_M1,Eotaxin-3,D09,3,4,,1248,1248,1248,1248,NaN,,,80.01720299,80.01720299,NaN
NBL_273_M2_M1,IL-8,D09,7,4,,135481,135481,135481,135481,NaN,,,140727.5743,140727.5743,NaN
NBL_273_M2_M1,IP-10,D09,5,4,,1370961,1370961,1370961,1370961,NaN,,,32338.42239,32338.42239,NaN
NBL_273_M2_M1,MCP-1,D09,8,4,,1723870,1723870,1723870,1723870,NaN,,,13897.70174,13897.70174,NaN
NBL_273_M2_M1,MCP-4,D09,10,4,,1013167,1013167,1013167,1013167,NaN,,,6420.845487,NaN,NaN
NBL_273_M2_M1,MDC,D09,9,4,,126896,126896,126896,126896,NaN,,,8964.803519,8964.803519,NaN
NBL_273_M2_M1,MIP-1α,D09,6,4,,1488515,1488515,1488515,1488515,NaN,,,9332.960761,9332.960761,NaN
NBL_273_M2_M1,MIP-1β,D09,2,4,,1560846,1560846,1560846,1560846,NaN,,,7972.914231,7972.914231,NaN
NBL_273_M2_M1,TARC,D09,4,4,,144303,144303,144303,144303,NaN,,,1510.32185,1510.32185,NaN
NBL_273_M2_M1,GM-CSF,D09,1,2,,4456,4456,4456,4456,NaN,,,16.87882823,16.87882823,NaN
NBL_273_M2_M1,IL-12p40,D09,5,2,,684913,684913,684913,684913,NaN,,,15407.19288,15407.19288,NaN
NBL_273_M2_M1,IL-15,D09,6,2,,1649,1649,1649,1649,NaN,,,3.86108716,3.86108716,NaN
NBL_273_M2_M1,IL-16,D09,7,2,,1095,1095,1095,1095,NaN,,,30.1619359,30.1619359,NaN
NBL_273_M2_M1,IL-17,D09,8,2,,12448,12448,12448,12448,NaN,,,194.4125139,194.4125139,NaN
NBL_273_M2_M1,IL-1α,D09,2,2,,3459,3459,3459,3459,NaN,,,9.47875591,9.47875591,NaN
NBL_273_M2_M1,IL-5,D09,3,2,,3743,3743,3743,3743,NaN,,,7.483903567,7.483903567,NaN
NBL_273_M2_M1,IL-7,D09,4,2,,3085,3085,3085,3085,NaN,,,13.84842381,13.84842381,NaN
NBL_273_M2_M1,TNF-β,D09,9,2,,3955,3955,3955,3955,NaN,,,16.19747934,16.19747934,NaN
NBL_273_M2_M1,VEGF,D09,10,2,,132005,132005,132005,132005,NaN,,,1015.253197,1015.253197,NaN
NBL_273_M2_M1,IFN-γ,D09,1,2,,94932,94932,94932,94932,NaN,,,1282.558364,1282.558364,NaN
NBL_273_M2_M1,IL-10,D09,7,2,,841501,841501,841501,841501,NaN,,,1991.643921,1991.643921,NaN
NBL_273_M2_M1,IL-12p70,D09,8,2,,44210,44210,44210,44210,NaN,,,144.3615079,144.3615079,NaN
NBL_273_M2_M1,IL-13,D09,9,2,,22557,22557,22557,22557,NaN,,,96.30047497,96.30047497,NaN
NBL_273_M2_M1,IL-1β,D09,2,2,,40535,40535,40535,40535,NaN,,,38.17858866,38.17858866,NaN
NBL_273_M2_M1,IL-2,D09,3,2,,4595,4595,4595,4595,NaN,,,9.662001676,9.662001676,NaN
NBL_273_M2_M1,IL-4,D09,4,2,,55412,55412,55412,55412,NaN,,,47.94605553,47.94605553,NaN
NBL_273_M2_M1,IL-6,D09,5,2,,1588445,1588445,1588445,1588445,NaN,,,4975.595096,4975.595096,NaN
NBL_273_M2_M1,IL-8,D09,6,2,,1546495,1546495,1546495,1546495,NaN,,,4627.055909,4627.055909,NaN
NBL_273_M2_M1,TNF-α,D09,10,2,,1884359,1884359,1884359,1884359,NaN,,,7038.839383,7038.839383,NaN
NBL_273_M2_M1+PM,Eotaxin,H09,1,4,,5547,5547,5547,5547,NaN,,,387.6087137,387.6087137,NaN
NBL_273_M2_M1+PM,Eotaxin-3,H09,3,4,,1860,1860,1860,1860,NaN,,,128.8855728,128.8855728,NaN
NBL_273_M2_M1+PM,IL-8,H09,7,4,,405556,405556,405556,405556,NaN,,,327077.4222,327077.4222,NaN
NBL_273_M2_M1+PM,IP-10,H09,5,4,,1424560,1424560,1424560,1424560,NaN,,,34923.01131,34923.01131,NaN
NBL_273_M2_M1+PM,MCP-1,H09,8,4,,1846320,1846320,1846320,1846320,NaN,,,14958.11185,14958.11185,NaN
NBL_273_M2_M1+PM,MCP-4,H09,10,4,,841654,841654,841654,841654,NaN,,,6420.845487,NaN,NaN
NBL_273_M2_M1+PM,MDC,H09,9,4,,50427,50427,50427,50427,NaN,,,4159.534077,4159.534077,NaN
NBL_273_M2_M1+PM,MIP-1α,H09,6,4,,1494597,1494597,1494597,1494597,NaN,,,9359.097494,9359.097494,NaN
NBL_273_M2_M1+PM,MIP-1β,H09,2,4,,1592204,1592204,1592204,1592204,NaN,,,8101.35766,8101.35766,NaN
NBL_273_M2_M1+PM,TARC,H09,4,4,,114301,114301,114301,114301,NaN,,,1184.059147,1184.059147,NaN
NBL_273_M2_M1+PM,GM-CSF,H09,1,2,,21627,21627,21627,21627,NaN,,,114.0306242,114.0306242,NaN
NBL_273_M2_M1+PM,IL-12p40,H09,5,2,,215834,215834,215834,215834,NaN,,,3699.080872,3699.080872,NaN
NBL_273_M2_M1+PM,IL-15,H09,6,2,,2131,2131,2131,2131,NaN,,,5.343278523,5.343278523,NaN
NBL_273_M2_M1+PM,IL-16,H09,7,2,,3620,3620,3620,3620,NaN,,,90.66265562,90.66265562,NaN
NBL_273_M2_M1+PM,IL-17,H09,8,2,,3550,3550,3550,3550,NaN,,,42.48487409,42.48487409,NaN
NBL_273_M2_M1+PM,IL-1α,H09,2,2,,19552,19552,19552,19552,NaN,,,81.42708941,81.42708941,NaN
NBL_273_M2_M1+PM,IL-5,H09,3,2,,1456,1456,1456,1456,NaN,,,1.895399337,1.895399337,NaN
NBL_273_M2_M1+PM,IL-7,H09,4,2,,1322,1322,1322,1322,NaN,,,4.779391136,4.779391136,NaN
NBL_273_M2_M1+PM,TNF-β,H09,9,2,,2737,2737,2737,2737,NaN,,,10.54167622,10.54167622,NaN
NBL_273_M2_M1+PM,VEGF,H09,10,2,,242810,242810,242810,242810,NaN,,,1798.413559,1798.413559,NaN
NBL_273_M2_M1+PM,IFN-γ,H09,1,2,,52369,52369,52369,52369,NaN,,,666.3610545,666.3610545,NaN
NBL_273_M2_M1+PM,IL-10,H09,7,2,,794718,794718,794718,794718,NaN,,,1868.910754,1868.910754,NaN
NBL_273_M2_M1+PM,IL-12p70,H09,8,2,,15806,15806,15806,15806,NaN,,,45.34411158,45.34411158,NaN
NBL_273_M2_M1+PM,IL-13,H09,9,2,,12373,12373,12373,12373,NaN,,,62.01902654,62.01902654,NaN
NBL_273_M2_M1+PM,IL-1β,H09,2,2,,57999,57999,57999,57999,NaN,,,57.60590654,57.60590654,NaN
NBL_273_M2_M1+PM,IL-2,H09,3,2,,4268,4268,4268,4268,NaN,,,8.818858042,8.818858042,NaN
